,src,name,ymin,ymax,xmin,xmax
0,93deg,Campnosperma N,4017,4166,4305,4485
1,93deg,Campnosperma S,4583,4702,4242,4421
2,93deg,Palm Tree,4471,4648,3706,3891
3,183deg,Campnosperma N,3833,3984,4717,4901
4,183deg,Campnosperma S,4403,4520,4639,4795
5,183deg,Palm Tree,4289,4450,4162,4334
0,183deg,macagi top,1259,1846,4600,5041
1,183deg,macagi top left,2207,2623,2626,3200
2,183deg,macagi middle,2849,3096,4916,5049
3,183deg,macagi bottom,3729,3976,3664,3897
4,93deg,macagi top,1375,2037,4117,4554
5,93deg,macagi top left,2393,2793,2193,2709
6,93deg,macagi middle,3015,3279,4476,4636
7,93deg,macagi bottom,3921,4196,3224,3444
